ISIN,Currency,Venue,TradeTime,Price,Trade_id,Phase,Quantity,side,id,primary_ticker,primary_mic_x,TradeTime_min_1,TradeTime_1,best_bid,best_ask,market_state_best,best_bid_min_1s,best_ask_min_1s,market_state_min_1s,best_bid_1s,best_ask_1s,market_state_1s,slippage
DE0006305006,EUR,XETA,2022-09-02 07:00:09.160,3.606,0,OPENING_AUCTION,-150,-1,331530,DEZ,XETR,2022-09-02 07:00:08.160,2022-09-02 07:00:10.160,,,,,,,,,,
BE0003851681,EUR,XBRU,2022-09-02 07:00:25.196,92.8,82,OPENING_AUCTION,71,1,328336,AED,XBRU,2022-09-02 07:00:24.196,2022-09-02 07:00:26.196,92.8,92.9,OPENING_AUCTION,,,,92.85,93.3,CONTINUOUS_TRADING,1.0
BE0003851681,EUR,XBRU,2022-09-02 07:02:02.577,93.05,83,OPENING_AUCTION,13,1,328336,AED,XBRU,2022-09-02 07:02:01.577,2022-09-02 07:02:03.577,93.05,93.35,CONTINUOUS_TRADING,,,,,,,1.0
DE0006305006,EUR,XETA,2022-09-02 07:02:32.790,3.624,1,OPENING_AUCTION,-198,-1,331530,DEZ,XETR,2022-09-02 07:02:31.790,2022-09-02 07:02:33.790,,,,,,,,,,
DE0006305006,EUR,XETA,2022-09-02 07:03:01.573,3.622,2,OPENING_AUCTION,-85,-1,331530,DEZ,XETR,2022-09-02 07:03:00.573,2022-09-02 07:03:02.573,,,,,,,,,,
DE0006305006,EUR,XETA,2022-09-02 07:03:01.829,3.622,3,OPENING_AUCTION,-89,-1,331530,DEZ,XETR,2022-09-02 07:03:00.829,2022-09-02 07:03:02.829,,,,,,,,,,
DE0006305006,EUR,XETA,2022-09-02 07:03:48.935,3.626,4,OPENING_AUCTION,-119,-1,331530,DEZ,XETR,2022-09-02 07:03:47.935,2022-09-02 07:03:49.935,,,,,,,,,,
DE0006305006,EUR,XETA,2022-09-02 07:03:56.378,3.622,5,OPENING_AUCTION,-284,-1,331530,DEZ,XETR,2022-09-02 07:03:55.378,2022-09-02 07:03:57.378,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:04:45.758,142.0,264,CONTINUOUS_TRADING,15,1,326330,VOW3,XETR,2022-09-02 07:04:44.758,2022-09-02 07:04:46.758,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:04:59.666,142.0,265,CONTINUOUS_TRADING,65,1,326330,VOW3,XETR,2022-09-02 07:04:58.666,2022-09-02 07:05:00.666,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:05:04.103,142.0,266,CONTINUOUS_TRADING,11,1,326330,VOW3,XETR,2022-09-02 07:05:03.103,2022-09-02 07:05:05.103,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:05:04.171,142.0,267,CONTINUOUS_TRADING,33,1,326330,VOW3,XETR,2022-09-02 07:05:03.171,2022-09-02 07:05:05.171,,,,,,,,,,
DE0006305006,EUR,XETA,2022-09-02 07:05:40.866,3.634,6,OPENING_AUCTION,-332,-1,331530,DEZ,XETR,2022-09-02 07:05:39.866,2022-09-02 07:05:41.866,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:06:07.325,142.0,268,CONTINUOUS_TRADING,24,1,326330,VOW3,XETR,2022-09-02 07:06:06.325,2022-09-02 07:06:08.325,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:06:10.003,141.98,269,CONTINUOUS_TRADING,39,1,326330,VOW3,XETR,2022-09-02 07:06:09.003,2022-09-02 07:06:11.003,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:06:14.590,141.92,270,CONTINUOUS_TRADING,23,1,326330,VOW3,XETR,2022-09-02 07:06:13.590,2022-09-02 07:06:15.590,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:06:38.358,142.0,271,CONTINUOUS_TRADING,50,1,326330,VOW3,XETR,2022-09-02 07:06:37.358,2022-09-02 07:06:39.358,,,,,,,,,,
DE0006305006,EUR,XETA,2022-09-02 07:07:30.861,3.636,7,OPENING_AUCTION,-290,-1,331530,DEZ,XETR,2022-09-02 07:07:29.861,2022-09-02 07:07:31.861,,,,,,,,,,
BE0003851681,EUR,XBRU,2022-09-02 07:08:11.684,93.1,84,OPENING_AUCTION,42,1,328336,AED,XBRU,2022-09-02 07:08:10.684,2022-09-02 07:08:12.684,93.05,93.25,CONTINUOUS_TRADING,,,,93.05,93.25,CONTINUOUS_TRADING,0.7500000000000178
DE0007664039,EUR,XETA,2022-09-02 07:08:24.700,142.0,272,CONTINUOUS_TRADING,57,1,326330,VOW3,XETR,2022-09-02 07:08:23.700,2022-09-02 07:08:25.700,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:08:42.930,142.0,273,CONTINUOUS_TRADING,55,1,326330,VOW3,XETR,2022-09-02 07:08:41.930,2022-09-02 07:08:43.930,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:08:59.105,141.98,275,CONTINUOUS_TRADING,11,1,326330,VOW3,XETR,2022-09-02 07:08:58.105,2022-09-02 07:09:00.105,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:08:59.105,141.98,274,CONTINUOUS_TRADING,45,1,326330,VOW3,XETR,2022-09-02 07:08:58.105,2022-09-02 07:09:00.105,,,,,,,,,,
DE0007664039,EUR,XETA,2022-09-02 07:09:01.604,141.96,276,CONTINUOUS_TRADING,15,1,326330,VOW3,XETR,2022-09-02 07:09:00.604,2022-09-02 07:09:02.604,,,,,,,,,,
BE0003851681,EUR,XBRU,2022-09-02 07:09:07.953,93.15,85,OPENING_AUCTION,13,1,328336,AED,XBRU,2022-09-02 07:09:06.953,2022-09-02 07:09:08.953,93.05,93.25,CONTINUOUS_TRADING,,,,92.8,93.0,CONTINUOUS_TRADING,0.4999999999999645
